
state,year,deforestation,reforestation
Maharashtra,2018,120.5,75.2
Karnataka,2018,93.7,105.8
Kerala,2018,45.2,65.9
Tamil Nadu,2018,82.3,60.1
Andhra Pradesh,2018,105.6,85.4
Gujarat,2018,56.8,42.3
Madhya Pradesh,2018,132.4,98.7
Rajasthan,2018,42.1,32.6
Uttar Pradesh,2018,63.5,45.8
Punjab,2018,24.6,18.9
Haryana,2018,31.2,25.4
West Bengal,2018,57.9,43.5
Bihar,2018,45.3,32.1
Jharkhand,2018,87.6,65.4
Chhattisgarh,2018,95.4,68.2
Odisha,2018,76.2,54.3
Maharashtra,2019,115.2,82.5
Karnataka,2019,90.4,110.6
Kerala,2019,42.8,70.3
Tamil Nadu,2019,78.5,65.7
Andhra Pradesh,2019,102.3,88.9
Gujarat,2019,54.2,45.8
Madhya Pradesh,2019,128.9,103.2
Rajasthan,2019,40.5,35.1
Uttar Pradesh,2019,61.8,48.3
Punjab,2019,23.2,20.4
Haryana,2019,30.6,27.8
West Bengal,2019,55.4,46.2
Bihar,2019,43.8,34.5
Jharkhand,2019,84.2,68.9
Chhattisgarh,2019,92.7,72.1
Odisha,2019,73.5,57.8
Maharashtra,2020,110.8,90.3
Karnataka,2020,87.6,116.2
Kerala,2020,40.5,74.8
Tamil Nadu,2020,75.2,70.4
Andhra Pradesh,2020,98.7,93.6
Gujarat,2020,52.1,48.7
Madhya Pradesh,2020,125.3,108.7
Rajasthan,2020,38.4,37.9
Uttar Pradesh,2020,59.6,51.2
Punjab,2020,22.5,22.1
Haryana,2020,29.8,30.2
West Bengal,2020,53.1,49.8
Bihar,2020,42.6,36.9
Jharkhand,2020,81.5,73.2
Chhattisgarh,2020,90.2,76.5
Odisha,2020,71.3,61.4
Maharashtra,2021,106.4,97.8
Karnataka,2021,84.2,121.5
Kerala,2021,38.7,78.5
Tamil Nadu,2021,72.6,75.2
Andhra Pradesh,2021,95.3,98.4
Gujarat,2021,50.8,52.4
Madhya Pradesh,2021,121.8,113.6
Rajasthan,2021,36.9,40.2
Uttar Pradesh,2021,57.3,54.5
Punjab,2021,21.7,23.8
Haryana,2021,28.4,32.6
West Bengal,2021,51.2,52.7
Bihar,2021,41.4,39.3
Jharkhand,2021,78.9,77.5
Chhattisgarh,2021,87.5,80.9
Odisha,2021,69.2,65.1
Maharashtra,2022,102.1,105.4
Karnataka,2022,81.7,127.3
Kerala,2022,36.9,82.2
Tamil Nadu,2022,70.4,79.8
Andhra Pradesh,2022,92.6,103.7
Gujarat,2022,49.3,56.5
Madhya Pradesh,2022,118.5,118.9
Rajasthan,2022,35.6,42.5
Uttar Pradesh,2022,55.8,57.9
Punjab,2022,20.9,25.6
Haryana,2022,27.5,35.1
West Bengal,2022,49.8,55.4
Bihar,2022,40.2,41.7
Jharkhand,2022,76.3,81.8
Chhattisgarh,2022,84.9,85.3
Odisha,2022,67.4,68.7
